data_point_id,citation,experimental_mechanism,site_name,individuals_ha,species,mass_kg,common_name,biomass_kg_ha
dp_424,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_424,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_425,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_425,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_426,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ghyvelde,0.173,Equus ferus caballus,300,Horse,51.9
dp_427,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ghyvelde,0.173,Equus ferus caballus,300,Horse,51.9
dp_428,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Cabour,0.433,Equus ferus caballus,300,Horse,129.9
dp_429,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Cabour,0.433,Equus ferus caballus,300,Horse,129.9
dp_430,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,0.3,Equus ferus caballus,300,Horse,90
dp_430,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,1.56,Ovis orientalis aries,39.097,Domestic sheep,60.99132
